Log Date and Time Mon, 03 Nov 2008 20:30:30
Ambient Kiln Date Date2Num

(287, '64.40', '201.20', 'Mon, 03 Nov 2008 13:44:53', '733349.57284096279')
(288, '64.40', '201.88', 'Mon, 03 Nov 2008 13:44:56', '733349.57287578122')
(289, '64.40', '201.88', 'Mon, 03 Nov 2008 13:44:59', '733349.57291040197')
(290, '64.40', '202.59', 'Mon, 03 Nov 2008 13:45:02', '733349.57294522040')
(291, '64.40', '201.88', 'Mon, 03 Nov 2008 13:45:05', '733349.57297984115')
(292, '64.40', '201.88', 'Mon, 03 Nov 2008 13:45:08', '733349.57301465946')
(293, '64.40', '202.59', 'Mon, 03 Nov 2008 13:45:11', '733349.57304928009')
(294, '64.40', '202.59', 'Mon, 03 Nov 2008 13:45:14', '733349.57308409875')
(295, '64.40', '203.27', 'Mon, 03 Nov 2008 13:45:17', '733349.57311871916')
(296, '64.40', '203.27', 'Mon, 03 Nov 2008 13:45:20', '733349.57315353793')
(297, '64.40', '203.27', 'Mon, 03 Nov 2008 13:45:23', '733349.57318815798')
(298, '64.40', '203.27', 'Mon, 03 Nov 2008 13:45:26', '733349.57322297664')
(299, '64.40', '203.27', 'Mon, 03 Nov 2008 13:45:29', '733349.57325778238')
(300, '64.40', '203.97', 'Mon, 03 Nov 2008 13:45:32', '733349.57329241559')
(301, '64.40', '203.27', 'Mon, 03 Nov 2008 13:45:35', '733349.57332722167')
(302, '64.40', '204.66', 'Mon, 03 Nov 2008 13:45:38', '733349.57336185477')
(303, '64.40', '203.97', 'Mon, 03 Nov 2008 13:45:41', '733349.57339666074')
(304, '64.40', '204.66', 'Mon, 03 Nov 2008 13:45:44', '733349.57343129395')
