Log Date and Time Thu, 07 Aug 2008 19:15:03
Ambient Kiln Date Date2Num

(248, '85.77', '163.00', 'Wed, 06 Aug 2008 17:37:30', '733260.73438508366')
(249, '85.77', '163.69', 'Wed, 06 Aug 2008 17:37:33', '733260.73441971687')
(250, '85.77', '163.69', 'Wed, 06 Aug 2008 17:37:36', '733260.73445452261')
(251, '85.77', '163.69', 'Wed, 06 Aug 2008 17:37:39', '733260.73448915617')
(252, '85.77', '163.69', 'Wed, 06 Aug 2008 17:37:42', '733260.73452396190')
(253, '85.77', '163.69', 'Wed, 06 Aug 2008 17:37:45', '733260.73455859523')
(254, '85.77', '164.39', 'Wed, 06 Aug 2008 17:37:48', '733260.73459340096')
(255, '85.77', '164.39', 'Wed, 06 Aug 2008 17:37:51', '733260.73462803429')
(256, '85.77', '164.39', 'Wed, 06 Aug 2008 17:37:54', '733260.73466284026')
(257, '85.77', '165.07', 'Wed, 06 Aug 2008 17:37:57', '733260.73469747335')
(258, '85.77', '165.07', 'Wed, 06 Aug 2008 17:38:00', '733260.73473227944')
(259, '85.77', '165.07', 'Wed, 06 Aug 2008 17:38:03', '733260.73476709763')
(260, '85.77', '165.07', 'Wed, 06 Aug 2008 17:38:06', '733260.73480171815')
(261, '85.77', '165.76', 'Wed, 06 Aug 2008 17:38:09', '733260.73483653704')
(262, '85.77', '165.76', 'Wed, 06 Aug 2008 17:38:12', '733260.73487115698')
(263, '85.77', '166.44', 'Wed, 06 Aug 2008 17:38:15', '733260.73490597541')
(264, '85.77', '166.44', 'Wed, 06 Aug 2008 17:38:18', '733260.73494059627')
(265, '85.77', '165.76', 'Wed, 06 Aug 2008 17:38:21', '733260.73497541458')
(266, '85.77', '166.44', 'Wed, 06 Aug 2008 17:38:24', '733260.73501003534')
(267, '85.77', '167.14', 'Wed, 06 Aug 2008 17:38:27', '733260.73504485376')
(268, '85.77', '167.14', 'Wed, 06 Aug 2008 17:38:30', '733260.73507947451')
(269, '85.77', '167.14', 'Wed, 06 Aug 2008 17:38:33', '733260.73511428142')
(270, '85.77', '167.14', 'Wed, 06 Aug 2008 17:38:36', '733260.73514891369')
(271, '85.77', '167.83', 'Wed, 06 Aug 2008 17:38:39', '733260.73518372071')
(272, '85.77', '167.83', 'Wed, 06 Aug 2008 17:38:42', '733260.73521835275')
(273, '85.77', '168.53', 'Wed, 06 Aug 2008 17:38:45', '733260.73525315954')
(274, '85.77', '168.53', 'Wed, 06 Aug 2008 17:38:48', '733260.73528779193')
(275, '85.77', '168.53', 'Wed, 06 Aug 2008 17:38:51', '733260.73532259883')
(276, '85.77', '168.53', 'Wed, 06 Aug 2008 17:38:54', '733260.73535723123')
(277, '85.77', '168.53', 'Wed, 06 Aug 2008 17:38:57', '733260.73539203720')
(278, '85.77', '169.21', 'Wed, 06 Aug 2008 17:39:00', '733260.73542666994')
(279, '85.77', '169.21', 'Wed, 06 Aug 2008 17:39:03', '733260.73546147649')
(280, '85.77', '169.21', 'Wed, 06 Aug 2008 17:39:06', '733260.73549610912')
(281, '85.77', '169.90', 'Wed, 06 Aug 2008 17:39:09', '733260.73553091579')
(282, '85.77', '169.90', 'Wed, 06 Aug 2008 17:39:12', '733260.73556554818')
(283, '85.77', '169.90', 'Wed, 06 Aug 2008 17:39:15', '733260.73560035485')
(284, '85.77', '169.90', 'Wed, 06 Aug 2008 17:39:18', '733260.73563498713')
(285, '85.77', '170.60', 'Wed, 06 Aug 2008 17:39:21', '733260.73566979391')
(286, '85.77', '170.60', 'Wed, 06 Aug 2008 17:39:24', '733260.73570442654')
(287, '85.77', '170.60', 'Wed, 06 Aug 2008 17:39:27', '733260.73573923297')
(288, '85.77', '171.28', 'Wed, 06 Aug 2008 17:39:30', '733260.73577386560')
(289, '85.77', '171.97', 'Wed, 06 Aug 2008 17:39:33', '733260.73580867215')
(290, '85.77', '171.28', 'Wed, 06 Aug 2008 17:39:36', '733260.73584348988')
(291, '85.77', '171.97', 'Wed, 06 Aug 2008 17:39:39', '733260.73587811168')
(292, '85.77', '171.28', 'Wed, 06 Aug 2008 17:39:42', '733260.73591291730')
(293, '85.77', '171.97', 'Wed, 06 Aug 2008 17:39:45', '733260.73594754993')
(294, '85.77', '171.97', 'Wed, 06 Aug 2008 17:39:48', '733260.73598235613')
(295, '85.77', '171.97', 'Wed, 06 Aug 2008 17:39:51', '733260.73601698922')
(296, '85.77', '172.67', 'Wed, 06 Aug 2008 17:39:54', '733260.73605179519')
(297, '85.77', '173.35', 'Wed, 06 Aug 2008 17:39:57', '733260.73608642840')
(298, '85.77', '173.35', 'Wed, 06 Aug 2008 17:40:00', '733260.73612123425')
(299, '85.77', '173.35', 'Wed, 06 Aug 2008 17:40:03', '733260.73615586758')
(300, '85.77', '174.06', 'Wed, 06 Aug 2008 17:40:06', '733260.73619067355')
(301, '85.77', '174.06', 'Wed, 06 Aug 2008 17:40:09', '733260.73622530675')
(302, '85.77', '174.06', 'Wed, 06 Aug 2008 17:40:12', '733260.73626011249')
(303, '85.77', '174.06', 'Wed, 06 Aug 2008 17:40:15', '733260.73629493103')
(304, '85.77', '174.74', 'Wed, 06 Aug 2008 17:40:18', '733260.73632955167')
