Log Date and Time Sun, 30 Oct 2011 21:31:11
Fields:Ambient KilnFront KilnBack Date Date2Num

(237, '54.3', '532.9', '426.3', 'Thu, 27 Oct 2011 00:13:52', '734437.00963295100')
(238, '54.5', '535.6', '428.0', 'Thu, 27 Oct 2011 00:14:22', '734437.00998035888')
(239, '54.5', '536.3', '428.0', 'Thu, 27 Oct 2011 00:14:52', '734437.01032789354')
(240, '54.5', '536.3', '428.7', 'Thu, 27 Oct 2011 00:15:22', '734437.01067540550')
(241, '54.3', '535.6', '427.7', 'Thu, 27 Oct 2011 00:15:52', '734437.01102293993')
(242, '54.3', '534.3', '427.7', 'Thu, 27 Oct 2011 00:16:22', '734437.01137045154')
(243, '54.3', '533.6', '427.7', 'Thu, 27 Oct 2011 00:16:52', '734437.01171797502')
(244, '54.3', '533.4', '427.0', 'Thu, 27 Oct 2011 00:17:22', '734437.01206548663')
(245, '54.3', '534.7', '428.4', 'Thu, 27 Oct 2011 00:17:52', '734437.01241303317')
(246, '54.3', '536.1', '429.2', 'Thu, 27 Oct 2011 00:18:22', '734437.01276057912')
(247, '54.3', '537.5', '429.8', 'Thu, 27 Oct 2011 00:18:52', '734437.01310807955')
(248, '54.3', '538.1', '430.5', 'Thu, 27 Oct 2011 00:19:22', '734437.01345547545')
(249, '54.3', '536.8', '430.5', 'Thu, 27 Oct 2011 00:19:52', '734437.01380299870')
(250, '54.0', '536.1', '429.6', 'Thu, 27 Oct 2011 00:20:22', '734437.01415053383')
(251, '54.0', '536.1', '430.3', 'Thu, 27 Oct 2011 00:20:52', '734437.01449805673')
(252, '54.0', '536.8', '430.3', 'Thu, 27 Oct 2011 00:21:22', '734437.01484556810')
(253, '54.3', '538.1', '431.2', 'Thu, 27 Oct 2011 00:21:52', '734437.01519309171')
(254, '54.0', '537.5', '431.0', 'Thu, 27 Oct 2011 00:22:22', '734437.01554062625')
(255, '54.0', '537.5', '431.0', 'Thu, 27 Oct 2011 00:22:52', '734437.01588816103')
(256, '54.0', '536.8', '431.0', 'Thu, 27 Oct 2011 00:23:22', '734437.01623570768')
(257, '54.0', '536.8', '431.7', 'Thu, 27 Oct 2011 00:23:52', '734437.01658319624')
(258, '54.0', '536.8', '431.7', 'Thu, 27 Oct 2011 00:24:22', '734437.01693059225')
(259, '54.0', '536.8', '431.0', 'Thu, 27 Oct 2011 00:24:52', '734437.01727811550')
(260, '54.0', '536.8', '431.0', 'Thu, 27 Oct 2011 00:25:22', '734437.01762536133')
(261, '54.0', '536.6', '431.0', 'Thu, 27 Oct 2011 00:25:52', '734437.01797290728')
(262, '54.0', '537.9', '431.7', 'Thu, 27 Oct 2011 00:26:22', '734437.01832023368')
(263, '54.0', '540.0', '432.4', 'Thu, 27 Oct 2011 00:26:52', '734437.01866763027')
(264, '54.0', '542.7', '433.1', 'Thu, 27 Oct 2011 00:27:22', '734437.01901508344')
(265, '54.0', '543.8', '433.8', 'Thu, 27 Oct 2011 00:27:52', '734437.01936261822')
(266, '53.8', '543.8', '434.3', 'Thu, 27 Oct 2011 00:28:22', '734437.01971013006')
(267, '53.8', '543.8', '435.0', 'Thu, 27 Oct 2011 00:28:52', '734437.02005766483')
(268, '53.8', '544.5', '433.6', 'Thu, 27 Oct 2011 00:29:23', '734437.02040517621')
(269, '53.6', '543.6', '433.4', 'Thu, 27 Oct 2011 00:29:53', '734437.02075269970')
(270, '53.6', '542.9', '434.1', 'Thu, 27 Oct 2011 00:30:23', '734437.02110015345')
(271, '53.6', '543.6', '433.4', 'Thu, 27 Oct 2011 00:30:53', '734437.02144767693')
(272, '53.6', '544.8', '434.1', 'Thu, 27 Oct 2011 00:31:23', '734437.02179521159')
