Log Date and Time Mon, 19 May 2008 23:23:20
Ambient Kiln Date Date2Num

(202, '79.02', '226.15', 'Mon, 19 May 2008 08:32:15', '733181.35573105130')
(203, '78.80', '225.93', 'Mon, 19 May 2008 08:32:18', '733181.35576584120')
(204, '78.80', '225.93', 'Mon, 19 May 2008 08:32:21', '733181.35580045602')
(205, '79.02', '226.83', 'Mon, 19 May 2008 08:32:24', '733181.35583524546')
(206, '79.02', '226.15', 'Mon, 19 May 2008 08:32:27', '733181.35587004502')
(207, '78.80', '225.93', 'Mon, 19 May 2008 08:32:30', '733181.35590464994')
(208, '78.80', '225.93', 'Mon, 19 May 2008 08:32:33', '733181.35593944928')
(209, '79.02', '226.15', 'Mon, 19 May 2008 08:32:36', '733181.35597405408')
(210, '78.80', '225.93', 'Mon, 19 May 2008 08:32:39', '733181.35600885388')
(211, '79.02', '226.83', 'Mon, 19 May 2008 08:32:42', '733181.35604364343')
(212, '79.02', '226.83', 'Mon, 19 May 2008 08:32:45', '733181.35607825860')
(213, '79.02', '226.83', 'Mon, 19 May 2008 08:32:48', '733181.35611304769')
(214, '79.02', '226.83', 'Mon, 19 May 2008 08:32:51', '733181.35614766309')
(215, '79.02', '226.83', 'Mon, 19 May 2008 08:32:54', '733181.35618245217')
(216, '79.02', '226.83', 'Mon, 19 May 2008 08:32:57', '733181.35621725209')
(217, '79.02', '226.83', 'Mon, 19 May 2008 08:33:00', '733181.35625185643')
(218, '79.02', '226.83', 'Mon, 19 May 2008 08:33:03', '733181.35628665646')
(219, '79.02', '227.53', 'Mon, 19 May 2008 08:33:06', '733181.35632144590')
(220, '79.02', '227.53', 'Mon, 19 May 2008 08:33:09', '733181.35635660414')
(221, '79.02', '227.53', 'Mon, 19 May 2008 08:33:12', '733181.35639084992')
(222, '79.02', '226.83', 'Mon, 19 May 2008 08:33:15', '733181.35642545344')
(223, '79.02', '227.53', 'Mon, 19 May 2008 08:33:18', '733181.35646025487')
(224, '79.02', '227.53', 'Mon, 19 May 2008 08:33:21', '733181.35649504315')
(225, '79.02', '227.53', 'Mon, 19 May 2008 08:33:24', '733181.35652965913')
(226, '79.02', '227.53', 'Mon, 19 May 2008 08:33:27', '733181.35656444717')
(227, '79.02', '227.53', 'Mon, 19 May 2008 08:33:30', '733181.35659906338')
(228, '79.02', '228.22', 'Mon, 19 May 2008 08:33:33', '733181.35663385200')
(229, '79.02', '228.22', 'Mon, 19 May 2008 08:33:36', '733181.35666865285')
(230, '79.02', '227.53', 'Mon, 19 May 2008 08:33:39', '733181.35670325602')
(231, '79.02', '228.22', 'Mon, 19 May 2008 08:33:42', '733181.35673805710')
(232, '79.02', '228.22', 'Mon, 19 May 2008 08:33:45', '733181.35677266109')
(233, '79.02', '228.22', 'Mon, 19 May 2008 08:33:48', '733181.35680746136')
(234, '79.02', '228.22', 'Mon, 19 May 2008 08:33:51', '733181.35684225045')
(235, '79.02', '228.22', 'Mon, 19 May 2008 08:33:54', '733181.35687686584')
(236, '79.25', '229.15', 'Mon, 19 May 2008 08:33:57', '733181.35691165423')
(237, '79.02', '228.92', 'Mon, 19 May 2008 08:34:00', '733181.35694645601')
(238, '79.02', '228.92', 'Mon, 19 May 2008 08:34:03', '733181.35698105849')
(239, '79.25', '228.45', 'Mon, 19 May 2008 08:34:06', '733181.35701586015')
(240, '79.25', '229.15', 'Mon, 19 May 2008 08:34:09', '733181.35705046321')
(241, '79.25', '229.86', 'Mon, 19 May 2008 08:34:12', '733181.35708526394')
(242, '79.25', '229.15', 'Mon, 19 May 2008 08:34:15', '733181.35712005221')
(243, '79.02', '229.60', 'Mon, 19 May 2008 08:34:18', '733181.35715465678')
